Executing /workspace/m1_dev/python_env/../adarand/fine_tuning.py
Config: {'seed': 42, 'val_ratio': 0.2, 'data_path': PosixPath('/workspace/m1_dev/python_env/../adarand'), 'batch_size': 32, 'max_iter': 200, 'model_lr': 0.001, 'model_lr_milestones': (60, 120, 160), 'model_lr_drop_rate': 0.1}
Epoch 158/200, Loss: 3.0285377933835468e-05, Top-1 Acc: 0.7764127764127764, Top-5 Acc: 0.9385749385749386
Epoch 159/200, Loss: 3.496631708100047e-05, Top-1 Acc: 0.7837837837837838, Top-5 Acc: 0.9404176904176904
Epoch 160/200, Loss: 3.05012477736278e-05, Top-1 Acc: 0.7782555282555282, Top-5 Acc: 0.9391891891891891
Epoch 161/200, Loss: 3.3245341336655465e-05, Top-1 Acc: 0.7813267813267813, Top-5 Acc: 0.9361179361179361
Epoch 162/200, Loss: 3.338207969722197e-05, Top-1 Acc: 0.777027027027027, Top-5 Acc: 0.937960687960688
Epoch 163/200, Loss: 3.434259561512483e-05, Top-1 Acc: 0.7757985257985258, Top-5 Acc: 0.9416461916461917
Epoch 164/200, Loss: 3.358434946234961e-05, Top-1 Acc: 0.7788697788697788, Top-5 Acc: 0.9391891891891891
Epoch 165/200, Loss: 3.3361864232998745e-05, Top-1 Acc: 0.777027027027027, Top-5 Acc: 0.937960687960688
Epoch 166/200, Loss: 3.4413076652468414e-05, Top-1 Acc: 0.7819410319410319, Top-5 Acc: 0.937960687960688
Epoch 167/200, Loss: 3.339213102196002e-05, Top-1 Acc: 0.7813267813267813, Top-5 Acc: 0.9385749385749386
Epoch 168/200, Loss: 3.315958226146445e-05, Top-1 Acc: 0.7819410319410319, Top-5 Acc: 0.9373464373464373
Epoch 169/200, Loss: 3.412494988077028e-05, Top-1 Acc: 0.7825552825552825, Top-5 Acc: 0.9373464373464373
Epoch 170/200, Loss: 3.407095734369956e-05, Top-1 Acc: 0.7794840294840295, Top-5 Acc: 0.9398034398034398
Epoch 171/200, Loss: 3.4281809110826223e-05, Top-1 Acc: 0.7776412776412777, Top-5 Acc: 0.9391891891891891
Epoch 172/200, Loss: 3.359104419312264e-05, Top-1 Acc: 0.7807125307125307, Top-5 Acc: 0.9373464373464373
Epoch 173/200, Loss: 3.3844646127801954e-05, Top-1 Acc: 0.7764127764127764, Top-5 Acc: 0.9398034398034398
Epoch 174/200, Loss: 3.354704878350838e-05, Top-1 Acc: 0.7825552825552825, Top-5 Acc: 0.9361179361179361
Epoch 175/200, Loss: 3.418977940310529e-05, Top-1 Acc: 0.7813267813267813, Top-5 Acc: 0.9391891891891891
Epoch 176/200, Loss: 3.204202723590187e-05, Top-1 Acc: 0.7794840294840295, Top-5 Acc: 0.9404176904176904
Epoch 177/200, Loss: 3.355784927014369e-05, Top-1 Acc: 0.7825552825552825, Top-5 Acc: 0.937960687960688
Epoch 178/200, Loss: 3.394445557473588e-05, Top-1 Acc: 0.7776412776412777, Top-5 Acc: 0.937960687960688
Epoch 179/200, Loss: 3.3576313700784965e-05, Top-1 Acc: 0.7800982800982801, Top-5 Acc: 0.9434889434889435
Epoch 180/200, Loss: 3.363110845075935e-05, Top-1 Acc: 0.7843980343980343, Top-5 Acc: 0.9373464373464373
Epoch 181/200, Loss: 3.276978218423455e-05, Top-1 Acc: 0.7800982800982801, Top-5 Acc: 0.9398034398034398
Epoch 182/200, Loss: 3.46793159444933e-05, Top-1 Acc: 0.7831695331695332, Top-5 Acc: 0.937960687960688
